Aggregate Date;municipio;region;connection_type;provider;test_count;performance_sample_count;mean_download_speed_mbps;download_speed;mean_upload_mbps;upload_speed;latency;jitter;mes;año;periodo;sample_count;mean_download_mbps;mean_latency_ms;mean_jitter
2022-10-01;CUCUTILLA;North Santander;All Fixed;All Providers Combined;191;104.0;129.534;93.508;66.63;28.807;27.0;3.0;10;2022;2022-10;;;;
2022-03-01;VILLARRICA;Tolima;All Fixed;All Providers Combined;42;11.0;26.296;10.475;28.236;11.946;17.0;12.0;3;2022;2022-03;;;;
2022-12-01;FUQUENE;Cundinamarca;All Fixed;All Providers Combined;43;21.0;40.748;11.139;18.08;6.821;22.0;27.0;12;2022;2022-12;;;;
2022-01-01;MISTRATO;Risaralda;All Fixed;All Providers Combined;84;10.0;15.288;9.801;15.808;10.91;17.0;29.0;1;2022;2022-01;;;;
2022-05-01;DUITAMA;Boyaca;All Fixed;All Providers Combined;4391;1147.0;59.017;33.173;28.939;21.48;19.0;9.0;5;2022;2022-05;;;;
2022-09-01;RETIRO;Antioquia;All Fixed;All Providers Combined;1767;522.0;129.404;70.239;82.249;57.588;7.0;3.0;9;2022;2022-09;;;;
2022-09-01;CONCORDIA;Magdalena;All Fixed;All Providers Combined;659;321.0;10.894;7.506;3.247;2.637;63.0;29.0;9;2022;2022-09;;;;
2022-12-01;UBAQUE;Cundinamarca;All Fixed;All Providers Combined;247;87.0;154.159;94.652;142.672;94.613;6.0;3.0;12;2022;2022-12;;;;
2022-01-01;SAN MARTIN;Meta;All Fixed;All Providers Combined;241;73.0;14.986;7.85;21.11;9.451;12.0;12.0;1;2022;2022-01;;;;
2022-01-01;CHIA;Cundinamarca;All Fixed;All Providers Combined;21003;6784.0;93.298;73.397;39.676;18.493;11.0;7.0;1;2022;2022-01;;;;
2022-03-01;COGUA;Cundinamarca;All Fixed;All Providers Combined;387;112.0;38.258;15.08;17.399;11.407;18.0;11.0;3;2022;2022-03;;;;
2022-03-01;LA PLATA;Huila;All Fixed;All Providers Combined;787;168.0;18.042;6.177;14.485;4.206;27.0;25.0;3;2022;2022-03;;;;
2022-04-01;SAN VICENTE;Antioquia;All Fixed;All Providers Combined;1459;532.0;64.538;19.454;43.26;17.572;16.0;6.0;4;2022;2022-04;;;;
2022-01-01;TADO;Choco;All Fixed;All Providers Combined;145;57.0;5.675;5.164;0.835;0.634;60.0;64.0;1;2022;2022-01;;;;
2022-09-01;PARAMO;Santander Department;All Fixed;All Providers Combined;80;21.0;15.964;9.743;13.707;10.004;15.0;26.0;9;2022;2022-09;;;;
2022-10-01;PUERTO LOPEZ;Meta;All Fixed;All Providers Combined;70;30.0;22.938;8.299;22.751;2.74;29.0;34.0;10;2022;2022-10;;;;
2022-12-01;SANTA ROSA DEL SUR;Bolivar;All Fixed;All Providers Combined;320;41.0;17.451;8.795;9.902;7.441;26.0;25.0;12;2022;2022-12;;;;
2022-06-01;EL BANCO;Magdalena;All Fixed;All Providers Combined;42;18.0;36.567;13.694;28.509;9.356;30.0;18.0;6;2022;2022-06;;;;
2022-10-01;GUATEQUE;Boyaca;All Fixed;All Providers Combined;147;63.0;32.345;14.093;28.915;13.361;10.0;10.0;10;2022;2022-10;;;;
2022-08-01;RIONEGRO;Antioquia;All Fixed;All Providers Combined;11741;3562.0;117.191;80.549;46.581;25.884;10.0;5.0;8;2022;2022-08;;;;
2022-11-01;SIMACOTA;Santander Department;All Fixed;All Providers Combined;160;36.0;34.209;8.827;25.011;7.895;16.0;10.0;11;2022;2022-11;;;;
2022-01-01;ANZA;Antioquia;All Fixed;All Providers Combined;37;14.0;3.835;3.496;1.364;0.785;34.0;28.0;1;2022;2022-01;;;;
2022-08-01;BETULIA;Antioquia;All Fixed;All Providers Combined;98;16.0;5.331;4.64;3.012;1.153;27.0;28.0;8;2022;2022-08;;;;
2022-05-01;ALEJANDRIA;Antioquia;All Fixed;All Providers Combined;85;45.0;162.734;69.598;96.395;72.275;9.0;2.0;5;2022;2022-05;;;;
2022-06-01;BOCHALEMA;North Santander;All Fixed;All Providers Combined;152;64.0;77.198;35.701;18.373;14.575;34.0;9.0;6;2022;2022-06;;;;
2022-09-01;TITIRIBI;Antioquia;All Fixed;All Providers Combined;53;33.0;16.808;9.735;14.987;9.826;14.0;5.0;9;2022;2022-09;;;;
2022-04-01;SAN JUAN DE ARAMA;Meta;All Fixed;All Providers Combined;34;15.0;17.687;9.98;20.519;11.154;7.0;2.0;4;2022;2022-04;;;;
2022-05-01;INZA;Cauca Department;All Fixed;All Providers Combined;38;13.0;8.089;5.787;8.296;5.736;47.0;21.0;5;2022;2022-05;;;;
2022-01-01;CONDOTO;Choco;All Fixed;All Providers Combined;52;21.0;5.71;4.723;3.019;2.31;29.0;39.0;1;2022;2022-01;;;;
2022-02-01;GUASCA;Cundinamarca;All Fixed;All Providers Combined;604;314.0;52.409;9.174;48.044;0.969;21.0;10.0;2;2022;2022-02;;;;
2022-02-01;ARMERO;Tolima;All Fixed;All Providers Combined;108;32.0;76.659;33.196;67.002;32.76;16.0;2.0;2;2022;2022-02;;;;
2022-05-01;DOLORES;Tolima;All Fixed;All Providers Combined;41;15.0;52.473;24.781;40.049;47.559;23.0;24.0;5;2022;2022-05;;;;
2022-08-01;BARBOSA;Antioquia;All Fixed;All Providers Combined;1441;601.0;145.027;78.967;80.57;41.936;10.0;3.0;8;2022;2022-08;;;;
2022-11-01;PALESTINA;Huila;All Fixed;All Providers Combined;54;33.0;29.658;9.254;23.289;4.535;27.0;17.0;11;2022;2022-11;;;;
2022-04-01;MONTERIA;Cordoba;All Fixed;All Providers Combined;13665;4006.0;88.88;56.288;49.085;20.214;18.0;6.0;4;2022;2022-04;;;;
2022-11-01;SAN JOSE DE MIRANDA;Santander Department;All Fixed;All Providers Combined;35;13.0;9.972;6.456;6.985;4.735;25.0;9.0;11;2022;2022-11;;;;
2022-11-01;MEDELLIN;Antioquia;All Fixed;All Providers Combined;184633;58055.0;144.602;94.717;74.791;28.377;10.0;4.0;11;2022;2022-11;;;;
2022-01-01;EL PENON;Cundinamarca;All Fixed;All Providers Combined;53;16.0;56.942;34.875;33.142;28.734;13.0;5.0;1;2022;2022-01;;;;
2022-12-01;SAN BERNARDO;Narino;All Fixed;All Providers Combined;51;6.0;9.938;8.461;6.59;4.026;9.0;20.0;12;2022;2022-12;;;;
2022-02-01;IBAGUE;Tolima;All Fixed;All Providers Combined;31215;9050.0;93.08;63.129;68.776;23.477;15.0;6.0;2;2022;2022-02;;;;
2022-04-01;CUMBITARA;Narino;All Fixed;All Providers Combined;83;8.0;8.47;5.529;7.436;1.856;30.0;66.0;4;2022;2022-04;;;;
2022-08-01;SANTA BARBARA;Santander Department;All Fixed;All Providers Combined;35;3.0;8.113;8.254;5.546;5.779;46.0;79.0;8;2022;2022-08;;;;
2022-04-01;VILLANUEVA;Casanare;All Fixed;All Providers Combined;439;69.0;8.04;6.116;6.115;3.343;15.0;23.0;4;2022;2022-04;;;;
2022-01-01;PUERTO RONDON;Arauca;All Fixed;All Providers Combined;35;4.0;6.158;4.161;4.086;1.9;25.0;59.0;1;2022;2022-01;;;;
2022-07-01;VALLE DEL GUAMUEZ;Putumayo;All Fixed;All Providers Combined;199;56.0;21.828;14.535;37.757;31.814;34.0;24.0;7;2022;2022-07;;;;
2022-01-01;TURBANA;Bolivar;All Fixed;All Providers Combined;369;52.0;44.596;19.5;36.397;10.06;15.0;8.0;1;2022;2022-01;;;;
2022-01-01;TULUA;Valle del Cauca;All Fixed;All Providers Combined;8037;2478.0;82.056;48.997;43.684;15.467;21.0;9.0;1;2022;2022-01;;;;
2022-09-01;COTA;Cundinamarca;All Fixed;All Providers Combined;1551;497.0;111.433;72.302;75.039;31.025;7.0;5.0;9;2022;2022-09;;;;
2022-09-01;BARICHARA;Santander Department;All Fixed;All Providers Combined;883;249.0;60.158;20.11;34.315;10.635;17.0;8.0;9;2022;2022-09;;;;
2022-10-01;EL GUAMO;Bolivar;All Fixed;All Providers Combined;134;43.0;14.85;12.157;6.17;3.808;704.0;82.0;10;2022;2022-10;;;;
2022-12-01;FUSAGASUGA;Cundinamarca;All Fixed;All Providers Combined;6446;1898.0;91.044;51.063;44.513;28.355;12.0;7.0;12;2022;2022-12;;;;
2022-12-01;JAMUNDI;Valle del Cauca;All Fixed;All Providers Combined;6139;1773.0;123.173;93.16;78.436;33.401;18.0;6.0;12;2022;2022-12;;;;
2022-09-01;ITUANGO;Antioquia;All Fixed;All Providers Combined;434;84.0;54.928;17.016;36.376;19.386;11.0;9.0;9;2022;2022-09;;;;
2022-12-01;CANDELARIA;Atlantico;All Fixed;All Providers Combined;386;109.0;33.969;25.709;36.15;26.866;7.0;5.0;12;2022;2022-12;;;;
2022-12-01;LA VEGA;Cundinamarca;All Fixed;All Providers Combined;182;42.0;21.662;10.599;25.55;10.766;27.0;28.0;12;2022;2022-12;;;;
2022-05-01;CARACOLI;Antioquia;All Fixed;All Providers Combined;85;25.0;128.513;93.255;83.723;79.149;17.0;4.0;5;2022;2022-05;;;;
2022-07-01;VILLAVICENCIO;Meta;All Fixed;All Providers Combined;28603;8059.0;116.09;83.183;80.657;31.146;13.0;6.0;7;2022;2022-07;;;;
2022-04-01;BELEN DE UMBRIA;Risaralda;All Fixed;All Providers Combined;163;26.0;38.845;18.336;17.259;10.015;19.0;24.0;4;2022;2022-04;;;;
2022-08-01;LA VIRGINIA;Risaralda;All Fixed;All Providers Combined;425;64.0;60.477;44.154;24.777;12.121;22.0;12.0;8;2022;2022-08;;;;
2022-09-01;CAJAMARCA;Tolima;All Fixed;All Providers Combined;186;12.0;64.01;25.783;8.025;7.534;39.0;15.0;9;2022;2022-09;;;;
2022-10-01;EL ROSAL;Cundinamarca;All Fixed;All Providers Combined;234;89.0;88.229;54.803;79.995;41.211;6.0;6.0;10;2022;2022-10;;;;
2022-03-01;AGUADAS;Caldas;All Fixed;All Providers Combined;405;102.0;71.263;29.759;53.248;25.37;13.0;5.0;3;2022;2022-03;;;;
2022-06-01;FRONTINO;Antioquia;All Fixed;All Providers Combined;67;27.0;68.805;17.96;9.587;8.973;28.0;13.0;6;2022;2022-06;;;;
2022-12-01;CUBARA;Boyaca;All Fixed;All Providers Combined;44;19.0;8.208;6.301;8.651;7.92;27.0;26.0;12;2022;2022-12;;;;
2022-03-01;CAJIBIO;Cauca Department;All Fixed;All Providers Combined;1238;373.0;69.419;16.196;54.513;12.491;16.0;8.0;3;2022;2022-03;;;;
2022-05-01;SOPO;Cundinamarca;All Fixed;All Providers Combined;998;321.0;82.137;41.161;60.121;20.441;10.0;7.0;5;2022;2022-05;;;;
2022-07-01;PACORA;Caldas;All Fixed;All Providers Combined;227;59.0;25.689;18.982;22.535;16.633;12.0;9.0;7;2022;2022-07;;;;
2022-05-01;ANGOSTURA;Antioquia;All Fixed;All Providers Combined;295;145.0;178.024;94.534;66.643;31.85;10.0;1.0;5;2022;2022-05;;;;
2022-08-01;PUERTO COLOMBIA;Atlantico;All Fixed;All Providers Combined;323;98.0;72.986;43.731;29.017;24.098;16.0;10.0;8;2022;2022-08;;;;
2022-10-01;SABOYA;Boyaca;All Fixed;All Providers Combined;35;15.0;13.745;5.84;12.655;5.728;18.0;37.0;10;2022;2022-10;;;;
2022-08-01;OBANDO;Valle del Cauca;All Fixed;All Providers Combined;51;10.0;16.745;13.809;18.086;9.609;18.0;10.0;8;2022;2022-08;;;;
2022-05-01;ARBOLEDAS;North Santander;All Fixed;All Providers Combined;175;72.0;31.796;11.555;30.724;12.15;26.0;7.0;5;2022;2022-05;;;;
2022-10-01;ALTOS DEL ROSARIO;Bolivar;All Fixed;All Providers Combined;36;20.0;54.052;6.178;18.23;2.084;37.0;15.0;10;2022;2022-10;;;;
2022-01-01;BELEN DE UMBRIA;Risaralda;All Fixed;All Providers Combined;171;33.0;16.093;6.006;16.543;3.805;15.0;23.0;1;2022;2022-01;;;;
2022-09-01;REMEDIOS;Antioquia;All Fixed;All Providers Combined;117;39.0;28.178;10.114;25.489;8.522;22.0;21.0;9;2022;2022-09;;;;
2022-02-01;PUERTO GUZMAN;Putumayo;All Fixed;All Providers Combined;45;4.0;18.343;13.419;30.459;31.99;27.0;64.0;2;2022;2022-02;;;;
2022-04-01;EL CHARCO;Narino;All Fixed;All Providers Combined;31;12.0;71.544;10.444;73.91;14.389;17.0;53.0;4;2022;2022-04;;;;
2022-11-01;DABEIBA;Antioquia;All Fixed;All Providers Combined;285;53.0;20.39;10.306;29.472;12.098;20.0;25.0;11;2022;2022-11;;;;
2022-03-01;OIBA;Santander Department;All Fixed;All Providers Combined;475;53.0;23.612;16.014;31.98;15.637;13.0;12.0;3;2022;2022-03;;;;
2022-02-01;BOCHALEMA;North Santander;All Fixed;All Providers Combined;107;40.0;27.064;8.453;26.284;6.809;26.0;9.0;2;2022;2022-02;;;;
2022-12-01;BARRANCABERMEJA;Santander Department;All Fixed;All Providers Combined;6785;1745.0;98.145;67.075;34.382;19.735;30.0;7.0;12;2022;2022-12;;;;
2022-12-01;ALCALA;Valle del Cauca;All Fixed;All Providers Combined;81;28.0;41.356;7.289;18.468;8.696;35.0;63.0;12;2022;2022-12;;;;
2022-03-01;DUITAMA;Boyaca;All Fixed;All Providers Combined;4663;1167.0;57.328;34.121;28.463;21.339;18.0;8.0;3;2022;2022-03;;;;
2022-04-01;SANTANDER DE QUILICHAO;Cauca Department;All Fixed;All Providers Combined;3327;849.0;73.325;41.136;32.312;18.718;23.0;9.0;4;2022;2022-04;;;;
2022-07-01;SAMANA;Caldas;All Fixed;All Providers Combined;237;70.0;92.074;13.686;33.89;12.191;18.0;11.0;7;2022;2022-07;;;;
2022-12-01;SOLEDAD;Atlantico;All Fixed;All Providers Combined;10436;3111.0;134.486;113.596;97.794;29.261;8.0;4.0;12;2022;2022-12;;;;
2022-05-01;SILVIA;Cauca Department;All Fixed;All Providers Combined;162;59.0;87.413;26.894;86.698;24.162;19.0;9.0;5;2022;2022-05;;;;
