Provider;Location;Aggregate Date;Test Count;Sample Count;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;ARMENIA;2022-05;10029.0;2573.0;median;2573.0;22.0;74395.0;17450.0;74.4;17.45
All Providers Combined;LETICIA;2022-05;32.0;13.0;median;13.0;171.0;4946.0;932.0;4.95;0.93
All Providers Combined;MEDELLIN;2022-05;256030.0;77432.0;median;77432.0;11.0;74112.0;21840.0;74.11;21.84
All Providers Combined;ARAUCA;2022-05;702.0;284.0;median;284.0;21.0;9145.0;4677.0;9.15;4.68
All Providers Combined;BARRANQUILLA;2022-05;66709.0;19873.0;median;19873.0;15.0;68585.0;25876.0;68.59;25.88
All Providers Combined;BOGOTA;2022-05;851729.0;257615.0;median;257615.0;8.0;90930.0;32008.0;90.93;32.01
All Providers Combined;CARTAGENA;2022-05;23084.0;6410.0;median;6410.0;13.0;75815.0;23021.0;75.82;23.02
All Providers Combined;TUNJA;2022-05;13409.0;3904.0;median;3904.0;17.0;56194.0;22072.0;56.19;22.07
All Providers Combined;MANIZALES;2022-05;32040.0;7595.0;median;7595.0;30.0;65581.0;14344.0;65.58;14.34
All Providers Combined;FLORENCIA;2022-05;3219.0;949.0;median;949.0;23.0;18210.0;15965.0;18.21;15.97
All Providers Combined;YOPAL;2022-05;5883.0;1732.0;median;1732.0;18.0;55264.0;22046.0;55.26;22.05
All Providers Combined;POPAYAN;2022-05;22650.0;5483.0;median;5483.0;25.0;50846.0;17000.0;50.85;17.0
All Providers Combined;VALLEDUPAR;2022-05;13949.0;3853.0;median;3853.0;29.0;66092.0;21904.0;66.09;21.9
All Providers Combined;QUIBDO;2022-05;409.0;120.0;median;120.0;37.0;7145.0;1253.0;7.15;1.25
All Providers Combined;MONTERIA;2022-05;12642.0;3376.0;median;3376.0;18.0;63594.0;21336.0;63.59;21.34
All Providers Combined;SAN JOSE DEL GUAVIARE;2022-05;705.0;181.0;median;181.0;15.0;14042.0;15514.0;14.04;15.51
All Providers Combined;NEIVA;2022-05;27495.0;5987.0;median;5987.0;26.0;37782.0;17130.0;37.78;17.13
All Providers Combined;RIOHACHA;2022-05;2896.0;1030.0;median;1030.0;32.0;54398.0;23265.0;54.4;23.27
All Providers Combined;SANTA MARTA;2022-05;13063.0;3905.0;median;3905.0;21.0;55044.0;20966.0;55.04;20.97
All Providers Combined;VILLAVICENCIO;2022-05;26972.0;7477.0;median;7477.0;15.0;75014.0;29208.0;75.01;29.21
All Providers Combined;PASTO;2022-05;22330.0;4794.0;median;4794.0;27.0;45682.0;18323.0;45.68;18.32
All Providers Combined;CUCUTA;2022-05;25610.0;7169.0;median;7169.0;25.0;53853.0;21850.0;53.85;21.85
All Providers Combined;MOCOA;2022-05;283.0;71.0;median;71.0;25.0;24343.0;20176.0;24.34;20.18
All Providers Combined;PEREIRA;2022-05;25934.0;6791.0;median;6791.0;22.0;60206.0;19766.0;60.21;19.77
All Providers Combined;SAN ANDRES;2022-05;1456.0;261.0;median;261.0;79.0;9117.0;6928.0;9.12;6.93
All Providers Combined;BUCARAMANGA;2022-05;56137.0;17428.0;median;17428.0;25.0;76057.0;28640.0;76.06;28.64
All Providers Combined;SINCELEJO;2022-05;4598.0;1430.0;median;1430.0;16.0;51952.0;14674.0;51.95;14.67
All Providers Combined;IBAGUE;2022-05;29213.0;7763.0;median;7763.0;15.0;63097.0;31117.0;63.1;31.12
All Providers Combined;CALI;2022-05;154680.0;41511.0;median;41511.0;20.0;67456.0;20731.0;67.46;20.73
All Providers Combined;PUERTO CARRENO;2022-05;3.0;2.0;median;2.0;601.0;976.0;639.0;0.98;0.64
All Providers Combined;ARMENIA;2022-06;10557.0;2488.0;median;2488.0;22.0;80393.0;18236.0;80.39;18.24
All Providers Combined;LETICIA;2022-06;33.0;14.0;median;14.0;87.0;4499.0;775.0;4.5;0.78
All Providers Combined;MEDELLIN;2022-06;220385.0;69545.0;median;69545.0;11.0;76748.0;22365.0;76.75;22.37
All Providers Combined;ARAUCA;2022-06;906.0;328.0;median;328.0;13.0;10982.0;4825.0;10.98;4.83
All Providers Combined;BARRANQUILLA;2022-06;61536.0;18770.0;median;18770.0;15.0;80523.0;29097.0;80.52;29.1
All Providers Combined;BOGOTA;2022-06;772934.0;236580.0;median;236580.0;8.0;91887.0;32524.0;91.89;32.52
All Providers Combined;CARTAGENA;2022-06;21395.0;6327.0;median;6327.0;13.0;83007.0;25349.0;83.01;25.35
All Providers Combined;TUNJA;2022-06;12161.0;3513.0;median;3513.0;16.0;62828.0;23395.0;62.83;23.4
All Providers Combined;MANIZALES;2022-06;25960.0;7122.0;median;7122.0;26.0;76331.0;16241.0;76.33;16.24
All Providers Combined;FLORENCIA;2022-06;4288.0;1076.0;median;1076.0;20.0;20963.0;20868.0;20.96;20.87
All Providers Combined;YOPAL;2022-06;4656.0;1230.0;median;1230.0;17.0;50009.0;24402.0;50.01;24.4
All Providers Combined;POPAYAN;2022-06;16271.0;4555.0;median;4555.0;20.0;52177.0;22303.0;52.18;22.3
All Providers Combined;VALLEDUPAR;2022-06;13399.0;3851.0;median;3851.0;29.0;71097.0;24225.0;71.1;24.23
All Providers Combined;QUIBDO;2022-06;573.0;130.0;median;130.0;43.0;6229.0;2998.0;6.23;3.0
All Providers Combined;MONTERIA;2022-06;10627.0;3131.0;median;3131.0;17.0;59074.0;21944.0;59.07;21.94
All Providers Combined;SAN JOSE DEL GUAVIARE;2022-06;701.0;180.0;median;180.0;15.0;13146.0;10338.0;13.15;10.34
All Providers Combined;NEIVA;2022-06;16270.0;4691.0;median;4691.0;23.0;54781.0;26595.0;54.78;26.6
All Providers Combined;RIOHACHA;2022-06;2624.0;935.0;median;935.0;33.0;58246.0;25178.0;58.25;25.18
All Providers Combined;SANTA MARTA;2022-06;12495.0;3859.0;median;3859.0;20.0;59778.0;22243.0;59.78;22.24
All Providers Combined;VILLAVICENCIO;2022-06;25057.0;7171.0;median;7171.0;16.0;80272.0;30776.0;80.27;30.78
All Providers Combined;PASTO;2022-06;14359.0;4092.0;median;4092.0;23.0;55761.0;22859.0;55.76;22.86
All Providers Combined;CUCUTA;2022-06;22383.0;6769.0;median;6769.0;23.0;59672.0;25026.0;59.67;25.03
All Providers Combined;MOCOA;2022-06;262.0;74.0;median;74.0;23.0;22471.0;21289.0;22.47;21.29
All Providers Combined;PEREIRA;2022-06;23578.0;6154.0;median;6154.0;23.0;62611.0;22914.0;62.61;22.91
All Providers Combined;SAN ANDRES;2022-06;697.0;238.0;median;238.0;50.0;6826.0;6045.0;6.83;6.05
All Providers Combined;BUCARAMANGA;2022-06;46727.0;15354.0;median;15354.0;19.0;83527.0;30602.0;83.53;30.6
All Providers Combined;SINCELEJO;2022-06;4267.0;1257.0;median;1257.0;16.0;63058.0;18445.0;63.06;18.45
All Providers Combined;IBAGUE;2022-06;27030.0;7347.0;median;7347.0;14.0;66020.0;30730.0;66.02;30.73
All Providers Combined;CALI;2022-06;117744.0;35223.0;median;35223.0;18.0;75070.0;28867.0;75.07;28.87
All Providers Combined;MITU;2022-06;1.0;1.0;median;1.0;662.0;6469.0;797.0;6.47;0.8
All Providers Combined;PUERTO CARRENO;2022-06;5.0;3.0;median;3.0;139.0;5693.0;1784.0;5.69;1.78
All Providers Combined;ARMENIA;2022-07;8848.0;2483.0;median;2483.0;22.0;93833.0;19885.0;93.83;19.89
All Providers Combined;LETICIA;2022-07;39.0;6.0;median;6.0;67.0;2478.0;814.0;2.48;0.81
All Providers Combined;MEDELLIN;2022-07;209024.0;63345.0;median;63345.0;10.0;91314.0;24325.0;91.31;24.33
All Providers Combined;ARAUCA;2022-07;843.0;320.0;median;320.0;21.0;9739.0;4626.0;9.74;4.63
All Providers Combined;BARRANQUILLA;2022-07;58566.0;17449.0;median;17449.0;14.0;86985.0;29617.0;86.99;29.62
All Providers Combined;BOGOTA;2022-07;804514.0;242910.0;median;242910.0;8.0;93863.0;32776.0;93.86;32.78
All Providers Combined;CARTAGENA;2022-07;22627.0;6768.0;median;6768.0;13.0;87158.0;25991.0;87.16;25.99
All Providers Combined;TUNJA;2022-07;11467.0;3723.0;median;3723.0;15.0;65375.0;24916.0;65.38;24.92
All Providers Combined;MANIZALES;2022-07;24099.0;6838.0;median;6838.0;25.0;84534.0;17181.0;84.53;17.18
All Providers Combined;FLORENCIA;2022-07;4021.0;1038.0;median;1038.0;21.0;20156.0;20816.0;20.16;20.82
All Providers Combined;YOPAL;2022-07;3218.0;825.0;median;825.0;15.0;51769.0;25507.0;51.77;25.51
All Providers Combined;POPAYAN;2022-07;17464.0;4639.0;median;4639.0;20.0;59927.0;22220.0;59.93;22.22
All Providers Combined;VALLEDUPAR;2022-07;13086.0;4057.0;median;4057.0;30.0;68602.0;24786.0;68.6;24.79
All Providers Combined;QUIBDO;2022-07;511.0;107.0;median;107.0;46.0;5929.0;908.0;5.93;0.91
All Providers Combined;MONTERIA;2022-07;11405.0;3261.0;median;3261.0;17.0;63757.0;23484.0;63.76;23.48
All Providers Combined;INIRIDA;2022-07;1.0;1.0;median;1.0;12.0;9732.0;3706.0;9.73;3.71
All Providers Combined;SAN JOSE DEL GUAVIARE;2022-07;905.0;211.0;median;211.0;17.0;9183.0;13131.0;9.18;13.13
All Providers Combined;NEIVA;2022-07;17007.0;4921.0;median;4921.0;27.0;58633.0;26783.0;58.63;26.78
All Providers Combined;RIOHACHA;2022-07;2699.0;934.0;median;934.0;33.0;56085.0;26871.0;56.09;26.87
All Providers Combined;SANTA MARTA;2022-07;12631.0;3925.0;median;3925.0;20.0;64195.0;23514.0;64.2;23.51
All Providers Combined;VILLAVICENCIO;2022-07;25997.0;7511.0;median;7511.0;13.0;85554.0;31119.0;85.55;31.12
All Providers Combined;PASTO;2022-07;13775.0;4077.0;median;4077.0;25.0;58639.0;22099.0;58.64;22.1
All Providers Combined;CUCUTA;2022-07;24368.0;7511.0;median;7511.0;22.0;64984.0;26882.0;64.98;26.88
All Providers Combined;MOCOA;2022-07;387.0;82.0;median;82.0;25.0;20944.0;16497.0;20.94;16.5
All Providers Combined;PEREIRA;2022-07;24990.0;6421.0;median;6421.0;22.0;63455.0;23266.0;63.46;23.27
All Providers Combined;SAN ANDRES;2022-07;800.0;229.0;median;229.0;42.0;11985.0;8575.0;11.99;8.58
All Providers Combined;BUCARAMANGA;2022-07;48808.0;16141.0;median;16141.0;17.0;86465.0;31300.0;86.47;31.3
